exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,1,airport/p06-airport2-p2,goal_chains,0.621688,True,0.929294,False,True,7,41,0.577253,2,41,0,2,0,1,102,10,39,0,41,0,0.585904,0,0
0,14,airport/p06-airport2-p2,linear,1.70657,True,2.00944,False,True,,,,,,,,,,,,,,,,,,
0,2,airport/p06-airport2-p2,relaxed,0.121505,True,0.434597,False,True,,,,,,,,,,,,,,,,,,
0,1,airport/p14-airport3-p3,goal_chains,1.96309,True,3.11914,False,True,14,60,1.84306,3,60,0,3,0,1,231,11.6667,57,0,60,0,1.8739,0,0
0,17,airport/p14-airport3-p3,linear,9.01792,True,10.07,False,True,,,,,,,,,,,,,,,,,,
0,4,airport/p14-airport3-p3,relaxed,1.55854,True,2.64131,False,True,,,,,,,,,,,,,,,,,,
0,2,airport/p15-airport3-p3,goal_chains,1.8458,True,2.82734,False,True,14,58,1.61934,3,58,0,3,0,1,235,11.6667,55,0,58,0,1.6467,0,0
0,15,airport/p15-airport3-p3,linear,5.82363,True,6.85179,False,True,,,,,,,,,,,,,,,,,,
0,3,airport/p15-airport3-p3,relaxed,0.497958,True,1.61566,False,True,,,,,,,,,,,,,,,,,,
0,2,airport/p16-airport3-p4,goal_chains,4.81328,True,8.98059,False,True,24,79,4.55421,4,79,0,4,0,1,339,13,75,0,79,0,4.61519,0,0
0,17,airport/p16-airport3-p4,linear,16.9395,True,21.6983,False,True,,,,,,,,,,,,,,,,,,
0,4,airport/p16-airport3-p4,relaxed,2.64879,True,7.93473,False,True,,,,,,,,,,,,,,,,,,
0,2,airport/p17-airport3-p5,goal_chains,5.18771,True,11.7684,False,True,22,88,4.78978,5,88,0,5,0,1,385,10.4,83,0,88,0,4.90401,0,0
0,17,airport/p17-airport3-p5,linear,17.3769,True,24.5229,False,True,,,,,,,,,,,,,,,,,,
0,5,airport/p17-airport3-p5,relaxed,7.31684,True,15.3317,False,True,,,,,,,,,,,,,,,,,,
0,3,airport/p19-airport3-p6,goal_chains,5.61936,True,12.4288,False,True,24,92,4.09695,6,91,0,6,0,1,329,9,86,0,91,0,4.22792,0,0
0,18,airport/p19-airport3-p6,linear,25.4601,True,32.1758,False,True,,,,,,,,,,,,,,,,,,
0,6,airport/p19-airport3-p6,relaxed,13.63,True,19.7909,False,True,,,,,,,,,,,,,,,,,,
0,3,airport/p20-airport3-p7,goal_chains,10.1363,True,26.9072,False,True,32,115,8.30942,7,115,0,7,0,1,542,10.4286,108,0,115,0,8.54395,0,0
0,19,airport/p20-airport3-p7,linear,55.492,True,73.2072,False,True,,,,,,,,,,,,,,,,,,
0,7,airport/p20-airport3-p7,relaxed,42.8479,True,63.0353,False,True,,,,,,,,,,,,,,,,,,
23,,airport/p30-airport4halfMUC-p8,goal_chains,,False,,False,,,,,,,,,,,,,,,,,,,
