instance,base_order,base_horizon,base_total,base_search,base_valid,plan_labels,distinct,fixed_breaks,first_occ_horizon,predicted_horizon,infer_optimal,infer_time,opt_horizon,opt_total,opt_search,opt_valid,iterations,horizon_chain,final_predicted,final_horizon,final_total,final_search,final_valid,infer_time_total,all_valid,note
airport/p06-airport2-p2,label_order_linear(),14,2.10321,1.80137,True,41,41,0,1,1,1,0.0,1,0.373113,0.053498,True,1,1/1,1,1,0.373113,0.053498,True,0.0,True,
airport/p06-airport2-p2,label_order_relaxed(),2,0.442102,0.110371,True,41,41,0,1,1,1,0.0,1,0.390136,0.0556648,True,1,1/1,1,1,0.390136,0.0556648,True,0.0,True,
airport/p14-airport3-p3,label_order_linear(),17,10.0497,8.93718,True,60,60,0,1,1,1,0.0,1,1.29265,0.124567,True,1,1/1,1,1,1.29265,0.124567,True,0.0,True,
airport/p14-airport3-p3,label_order_relaxed(),4,2.39454,1.2605,True,60,60,0,1,1,1,0.0,1,1.27329,0.131782,True,1,1/1,1,1,1.27329,0.131782,True,0.0,True,
airport/p16-airport3-p4,label_order_linear(),17,20.7986,16.488,True,79,79,0,1,1,1,0.0,1,4.83884,0.233035,True,1,1/1,1,1,4.83884,0.233035,True,0.0,True,
airport/p16-airport3-p4,label_order_relaxed(),4,6.69826,2.35126,True,79,79,0,1,1,1,0.0,1,5.19921,0.228426,True,1,1/1,1,1,5.19921,0.228426,True,0.0,True,
airport/p17-airport3-p5,label_order_linear(),17,23.7285,16.3911,True,88,88,0,1,1,1,0.0,1,7.2611,0.298767,True,1,1/1,1,1,7.2611,0.298767,True,0.0,True,
airport/p17-airport3-p5,label_order_relaxed(),5,13.4901,6.39369,True,88,88,0,1,1,1,0.0,1,7.42888,0.291219,True,1,1/1,1,1,7.42888,0.291219,True,0.0,True,
airport/p19-airport3-p6,label_order_linear(),18,32.6116,25.6148,True,90,90,0,1,1,1,0.0,1,6.58489,0.249781,True,1,1/1,1,1,6.58489,0.249781,True,0.0,True,
airport/p19-airport3-p6,label_order_relaxed(),6,19.1523,12.9153,True,92,92,0,1,1,1,0.0,1,6.52862,0.249337,True,1,1/1,1,1,6.52862,0.249337,True,0.0,True,
airport/p20-airport3-p7,label_order_linear(),19,74.1948,56.497,True,115,115,0,1,1,1,0.0,1,19.2654,0.508573,True,1,1/1,1,1,19.2654,0.508573,True,0.0,True,
airport/p20-airport3-p7,label_order_relaxed(),7,54.3871,36.8643,True,117,117,0,1,1,1,0.0,1,19.2279,0.488341,True,1,1/1,1,1,19.2279,0.488341,True,0.0,True,
airport/p46-airport5MUC-p6,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
airport/p46-airport5MUC-p6,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
blocks/probBLOCKS-22-1,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
blocks/probBLOCKS-22-1,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
depot/pfile13,label_order_linear(),4,12.6749,12.2738,True,34,33,0,2,2,1,0.031,1,0.595837,0.200366,True,2,2/1>1/1,1,1,0.608957,0.203736,True,0.031,True,
depot/pfile13,label_order_relaxed(),3,4.52863,4.13877,True,24,23,0,2,2,1,0.011,1,0.617516,0.217052,True,2,2/1>1/1,1,1,0.630973,0.222837,True,0.011,True,
depot/pfile4,label_order_linear(),7,42.7949,42.6965,True,44,43,0,2,2,1,0.061,2,0.98595,0.804314,True,1,2/2,2,2,0.98595,0.804314,True,0.061,True,
depot/pfile4,label_order_relaxed(),8,324.257,324.051,True,63,51,0,11,5,1,0.51,5,54.3979,54.1963,True,1,5/5,5,5,54.3979,54.1963,True,0.51,True,
depot/pfile5,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
depot/pfile5,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
depot/pfile7,label_order_linear(),4,2.36692,2.25575,True,23,23,0,1,1,1,0.0,1,0.163137,0.0520225,True,1,1/1,1,1,0.163137,0.0520225,True,0.0,True,
depot/pfile7,label_order_relaxed(),3,3.28573,3.15722,True,20,20,0,1,1,1,0.0,1,0.180155,0.0541998,True,1,1/1,1,1,0.180155,0.0541998,True,0.0,True,
driverlog/pfile11,label_order_linear(),6,0.570331,0.549257,True,25,16,0,8,5,1,0.018,3,0.121692,0.101096,True,2,5/3>3/3,3,3,0.100858,0.0789985,True,0.077,True,
driverlog/pfile11,label_order_relaxed(),4,0.558068,0.536666,True,30,21,0,6,4,1,0.024,3,0.180396,0.158842,True,2,4/3>3/3,3,3,0.110773,0.0888688,True,0.08,True,
driverlog/pfile12,label_order_linear(),6,1.67032,1.6325,True,29,22,0,7,5,1,0.027,4,0.676754,0.634983,True,3,5/4>4/3>3/3,3,3,0.207529,0.169521,True,0.199,True,
driverlog/pfile12,label_order_relaxed(),4,0.980387,0.938775,True,35,28,0,6,3,1,0.07,3,0.246845,0.201419,True,1,3/3,3,3,0.246845,0.201419,True,0.07,True,
driverlog/pfile13,label_order_linear(),6,2.21117,2.17423,True,29,22,0,6,5,1,0.02,4,0.999543,0.963324,True,3,5/4>4/3>3/3,3,3,0.215329,0.176342,True,0.089,True,
driverlog/pfile13,label_order_relaxed(),5,2.13989,2.09935,True,39,30,0,5,4,1,0.048,3,0.238475,0.19875,True,2,4/3>3/3,3,3,0.302266,0.263261,True,0.143,True,
driverlog/pfile14,label_order_linear(),5,1.26813,1.21813,True,30,21,0,9,4,1,0.051,3,0.610276,0.56116,True,2,4/3>3/3,3,3,0.367999,0.316802,True,0.152,True,
driverlog/pfile14,label_order_relaxed(),4,1.12339,1.06824,True,47,32,0,8,4,1,0.12,3,0.819815,0.766939,True,2,4/3>3/3,3,3,0.37947,0.325804,True,0.226,True,
driverlog/pfile15,label_order_linear(),5,7.65149,7.49543,True,44,32,0,7,5,1,0.071,4,12.213,12.0443,True,3,5/4>4/3>3/3,3,3,4.69728,4.51875,True,1.227,True,
driverlog/pfile15,label_order_relaxed(),4,6.73742,6.55757,True,47,36,0,3,3,1,0.041,3,5.07875,4.89927,True,1,3/3,3,3,5.07875,4.89927,True,0.041,True,
