batch,exit,horizon,instance,order,search,solved,total,trivial,valid,gc_alternatives,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_deep_fallbacks,gc_distinct,gc_exact_sccs,gc_explored_states,gc_factors_covered,gc_factors_with_moves,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pair_chains,gc_pairs_weight,gc_proven,gc_sccs,gc_selection_rounds,gc_skipped_budget,gc_subgoal_chains,gc_switches,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated,gc_work
full,0,1,airport/p06-airport2-p2,gc2,0.763682,True,1.06907,False,True,3,21,63,0.686538,3,0,42,0,287893,25,114,2,0,1,101,15.6667,1,60,0,42,0,0,0,0,0,0.702256,0,0,
full,0,1,airport/p06-airport2-p2,gc2_b200k,0.673319,True,1.00051,False,True,2,14,41,0.595983,2,0,41,0,227927,25,114,2,0,1,102,16.5,0,39,0,41,0,1,0,0,0,0.612047,0,0,
full,0,2,airport/p14-airport3-p3,gc2,2.38384,True,3.488,False,True,6,45,146,1.99891,6,0,61,0,584149,23,169,3,0,1,230,12.6667,3,140,0,61,0,0,0,0,0,2.05236,0,0,
full,0,1,airport/p14-airport3-p3,gc2_b200k,1.61626,True,2.72528,False,True,3,23,60,1.38006,3,0,60,0,292479,23,169,3,0,1,231,13.6667,0,57,0,60,0,3,0,0,0,1.45009,0,0,
full,0,2,airport/p15-airport3-p3,gc2,2.79205,True,3.84503,False,True,5,39,100,2.32606,5,0,59,0,536343,21,169,3,0,1,234,14,2,95,0,59,0,1,0,0,0,2.38428,0,0,
full,0,2,airport/p15-airport3-p3,gc2_b200k,1.53278,True,2.49385,False,True,3,23,58,1.18515,3,0,58,0,294264,21,169,3,0,1,235,14,0,55,0,58,0,3,0,0,0,1.24285,0,0,
full,0,2,airport/p16-airport3-p4,gc2,3.7896,True,8.12296,False,True,5,40,101,3.21257,5,0,80,0,577643,27,212,4,0,1,338,14,1,96,0,80,0,4,0,0,0,3.37717,0,0,
full,0,2,airport/p16-airport3-p4,gc2_b200k,3.36207,True,7.34569,False,True,4,32,79,2.66523,4,2,79,0,470488,27,212,4,0,1,339,14.25,0,75,0,79,0,7,0,0,0,2.82456,0,0,
full,0,2,airport/p17-airport3-p5,gc2,4.30515,True,10.4567,False,True,6,48,110,3.58771,6,0,89,0,502521,31,255,5,0,1,384,14,1,104,0,89,0,6,0,0,0,3.82261,0,0,
full,0,2,airport/p17-airport3-p5,gc2_b200k,4.05986,True,10.5919,False,True,5,40,88,3.10128,5,2,88,0,411249,31,255,5,0,1,385,14.4,0,83,0,88,0,9,0,0,0,3.35181,0,0,
full,0,3,airport/p19-airport3-p6,gc2,5.74231,True,11.6813,False,True,6,46,94,3.5752,6,0,93,0,522896,67,271,6,0,1,327,18.8333,0,88,0,93,0,9,0,0,0,3.78728,0,0,
full,0,3,airport/p19-airport3-p6,gc2_b200k,5.23671,True,11.0671,False,True,6,46,94,3.12774,6,3,93,0,522896,67,271,6,0,1,327,18.8333,0,88,0,93,0,12,0,0,0,3.30625,0,0,
